state_code,operator_name,operator_type,official_source_url,notes,last_verified
NJ,"Marina District Development Company, LLC d/b/a Borgata Hotel Casino & Spa",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-001.,2026-02-21
NJ,"Golden Nugget Atlantic City, LLC",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-002.,2026-02-21
NJ,"Caesars Interactive Entertainment New Jersey, LLC (affiliate of Boardwalk Regency Corp.)",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-007.,2026-02-21
NJ,"DGMB Casino, LLC",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-008.,2026-02-21
NJ,AC Ocean Walk,Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-009.,2026-02-21
NJ,"Hard Rock Boardwalk 1000, LLC d/b/a Hard Rock Hotel Casino",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-010.,2026-02-21
NJ,Premier Atlantic City LLC d/b/a Bally Atlantic City,Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-011.,2026-02-21
NJ,"Caesars Interactive Entertainment New Jersey, LLC (affiliate of Tropicana Atlantic City Corp.)",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-012.,2026-02-21
NJ,"Caesars Interactive Entertainment New Jersey, LLC (affiliate of Harrah’s Atlantic City Operating Company, LLC)",Internet Gaming Permit Holder,https://www.nj.gov/oag/ge/docs/InternetGaming/internetgamingpermitholders.pdf,Permit NJIGP 25-013.,2026-02-21
PA,PGCB Interactive Gaming Operators,Verified Operator List,https://gamingcontrolboard.pa.gov/interactive-gaming-operators,Regulator page lists legal interactive gaming brands/operators.,2026-02-21
MI,MGCB Licensed Internet Gaming Operators,Verified Operator List,https://www.michigan.gov/mgcb/consumer/online-gambling,MGCB consumer page lists legal internet gaming operators.,2026-02-21
WV,WV Lottery iGaming License List,License List,https://wvlottery.com/licensing/igaming,WV Lottery licensing hub links to public license list PDFs.,2026-02-21
CT,DraftKings (Foxwoods),Legal iCasino Platform,https://portal.ct.gov/dcp/news-releases-from-the-department-of-consumer-protection/2025-news-releases/dcp-issues-summary-suspension-of-high5games-license-for-conducting-illegal-gaming-activity,DCP states DraftKings/Foxwoods is a legal iCasino platform.,2026-02-21
CT,FanDuel (Mohegan Sun),Legal iCasino Platform,https://portal.ct.gov/dcp/news-releases-from-the-department-of-consumer-protection/2025-news-releases/dcp-issues-summary-suspension-of-high5games-license-for-conducting-illegal-gaming-activity,DCP states FanDuel/Mohegan Sun is a legal iCasino platform.,2026-02-21
DE,Delaware Park (online),Authorized Delaware Casino Platform,https://www.delottery.com/More/iGaming,Listed under Delaware Lottery iGaming page.,2026-02-21
DE,Bally’s Dover (online),Authorized Delaware Casino Platform,https://www.delottery.com/More/iGaming,Listed under Delaware Lottery iGaming page.,2026-02-21
DE,Harrington (online),Authorized Delaware Casino Platform,https://www.delottery.com/More/iGaming,Listed under Delaware Lottery iGaming page.,2026-02-21
RI,Bally’s (Rhode Island) iGaming,Legal iCasino Platform,https://www.rilot.com/en-us/player-zone/faqs.html,RI Lottery FAQ references iGaming availability at Bally’s and via apps/websites.,2026-02-21
